Адрес;Title;Description;Canonical;Индексация;Изображение для соцсетей;Папка кода
/;Банкетный зал в Ростове-на-Дону на 50–2 500 гостей | Банкет-Холл;Три банкетных зала на пр. М. Нагибина, 30 в Ростове-на-Дону: от 50 до 2 500 гостей. Своя кухня в здании, 1 500 комплектов посуды, парковка на 300 мест.;https://banket-na5.ru/;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;glavnaya
/zaly;Банкетные залы в Ростове-на-Дону: от 50 до 2 500 гостей | Банкет-Холл;Три зала на пр. Нагибина, 30: банкетный зал на 50–150 гостей, «Аметист» на 150–500 и выставочный до 2 500. Сцена, свет, звук, гримёрные, парковка. Проверить свободную дату.;https://banket-na5.ru/zaly;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/cover-ametist-69a6dc-1280.jpg;zaly
/zaly/bankethall;Банкетный зал на 50–150 человек в Ростове-на-Дону | Банкет-Холл;Банкетный зал на 50–150 гостей на пр. М. Нагибина, 30 в Ростове-на-Дону. Кухня в здании, своя посуда и мебель, парковка на 300 мест. Юбилеи, свадьбы, корпоративы отдела.;https://banket-na5.ru/zaly/bankethall;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/cover-bankethall-95f172-1280.jpg;zaly-bankethall
/zaly/ametist;Зал на 300 человек в Ростове-на-Дону — «Аметист» | Банкет-Холл;Зал «Аметист» на 150–500 гостей на пр. М. Нагибина, 30 в Ростове-на-Дону. Сцена, свет, звук и гримёрные на месте. Большие свадьбы, корпоративы с шоу-программой, форумы.;https://banket-na5.ru/zaly/ametist;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/cover-ametist-69a6dc-1280.jpg;zaly-ametist
/zaly/vystavochny;Зал на 1000–2500 человек в Ростове-на-Дону | Банкет-Холл;Выставочный зал до 2 500 гостей на пр. М. Нагибина, 30 в Ростове-на-Дону. Конференции, выставки, крупные фуршеты и корпоративы. Полное оснащение, прямой подъезд для монтажа.;https://banket-na5.ru/zaly/vystavochny;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-vystavochny-c1321a-1280.jpg;zaly-vystavochny
/meropriyatiya;Где провести мероприятие в Ростове-на-Дону | Банкет-Холл;Свадьбы, корпоративы, юбилеи, фуршеты, кофе-брейки и детские праздники в трёх залах на пр. М. Нагибина, 30 в Ростове-на-Дону. От 15 до 2 500 гостей, своя кухня в здании.;https://banket-na5.ru/meropriyatiya;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-svadba-9bba66-1280.jpg;meropriyatiya
/svadba;Зал для свадьбы в Ростове-на-Дону на 50–2 500 гостей | Банкет-Холл;Свадебный зал в Ростове-на-Дону на пр. М. Нагибина, 30: от 50 до 2 500 гостей. Просмотр зала до брони, своя кухня, свой ведущий и декоратор — можно. Проверить свободную дату.;https://banket-na5.ru/svadba;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-svadba-9bba66-1280.jpg;svadba
/korporativ;Корпоратив в Ростове-на-Дону: зал, кухня, документы | Банкет-Холл;Корпоратив в Ростове-на-Дону: залы на 50–2 500 гостей, кухня в здании, договор с юрлицом, безнал и полный комплект закрывающих документов. Пр. М. Нагибина, 30. Расчёт за день.;https://banket-na5.ru/korporativ;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-korporativ-229089-1280.jpg;korporativ
/novogodniy-korporativ;Новогодний корпоратив в Ростове-на-Дону | Банкет-Холл;Новогодний корпоратив в Ростове-на-Дону на пр. М. Нагибина, 30. Залы на 50–2 500 человек, своя кухня, сцена и звук, документы для бухгалтерии. Бронь на декабрь 2026 открыта.;https://banket-na5.ru/novogodniy-korporativ;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/gallery-20-00fd84-1170.jpg;novogodniy-korporativ
/den-rozhdeniya;Зал на юбилей и день рождения в Ростове-на-Дону | Банкет-Холл;Зал для юбилея и дня рождения в Ростове-на-Дону, пр. М. Нагибина, 30. От 20 гостей, своя кухня, парковка на 300 мест, свой ведущий и музыканты — можно. Узнать стоимость.;https://banket-na5.ru/den-rozhdeniya;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-den-rozhdeniya-4d9fa5-1280.jpg;den-rozhdeniya
/furshet;Фуршет в Ростове-на-Дону для выставок и деловых событий | Банкет-Холл;Фуршетное обслуживание в Ростове-на-Дону для приёмов, презентаций и выставок, в том числе прямо в залах ВЦ «ДонЭкспоцентр». От 50 до 2 500 гостей, посуда и мебель свои.;https://banket-na5.ru/furshet;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-furshet-ca8654-1280.jpg;furshet
/kofe-breyk;Кофе-брейк в Ростове-на-Дону для конференций | Банкет-Холл;Кофе-брейки для конференций и деловых программ в Ростове-на-Дону, пр. М. Нагибина, 30. Обслуживание строго между сессиями, от 20 до 2 500 участников. Получить расчёт.;https://banket-na5.ru/kofe-breyk;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/kofe-bar-8f9727-1280.jpg;kofe-breyk
/vypusknoy;Зал на выпускной в Ростове-на-Дону: банкет для класса | Банкет-Холл;Выпускной вечер в Ростове-на-Дону, пр. М. Нагибина, 30. Отдельный зал от 30 человек, своя кухня, парковка на 300 мест, смета с суммой на одного выпускника. Проверить дату.;https://banket-na5.ru/vypusknoy;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/zal-1-21f47e-960.jpg;vypusknoy
/detskiy-prazdnik;Детский день рождения в Ростове-на-Дону: зал и меню | Банкет-Холл;Зал для детского праздника в Ростове-на-Дону, пр. М. Нагибина, 30. Игровая зона отделена от банкетной, детское меню по возрасту, от 15 гостей. Свои аниматоры — можно.;https://banket-na5.ru/detskiy-prazdnik;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-detskiy-prazdnik-818b85-1280.jpg;detskiy-prazdnik
/pominalny-obed;Поминальный обед в Ростове-на-Дону: зал от 20 человек | Банкет-Холл;Поминальный обед в Ростове-на-Дону, пр. М. Нагибина, 30. Отдельный зал от 20 человек, поминальный стол, парковка на 300 мест. Позвоните — скажем, что свободно на нужный день.;https://banket-na5.ru/pominalny-obed;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;pominalny-obed
/kejtering;Выездной кейтеринг в Ростове-на-Дону и области | Банкет-Холл;Кейтеринг на вашей площадке в Ростове-на-Дону и области: кухня, посуда, мебель, персонал и логистика. Свой транспорт и оборудование, своя команда на выезде. Расчёт по запросу.;https://banket-na5.ru/kejtering;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/supplied-furshet-ca8654-1280.jpg;kejtering
/arenda-oborudovaniya;Аренда посуды, мебели и шатров в Ростове-на-Дону | Банкет-Холл;Аренда посуды, мебели, текстиля, шатров и тентовых конструкций в Ростове-на-Дону. Доставка, монтаж и вывоз своими силами. Наличие и расчёт — по запросу.;https://banket-na5.ru/arenda-oborudovaniya;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/korporativ-2-ec8521-1280.jpg;arenda-oborudovaniya
/galereya;Фото залов и мероприятий в Ростове-на-Дону | Банкет-Холл;Фотографии залов, свадеб, корпоративов и фуршетов на пр. М. Нагибина, 30 в Ростове-на-Дону. Фильтр по залу и формату, съёмка с реальных мероприятий — без рендеров.;https://banket-na5.ru/galereya;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/zal-2-b2fd1a-1280.jpg;galereya
/contacts;Контакты и схема проезда — Ростов-на-Дону, пр. Нагибина, 30;Банкет-Холл: телефон, почта, схема проезда и парковка на 300 мест. Банкетное направление ВЦ «ДонЭкспоцентр», пр. М. Нагибина, 30, Ростов-на-Дону. Пн–Сб, 9:00–18:00.;https://banket-na5.ru/contacts;index,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;contacts
/policy;Политика обработки персональных данных | Банкет-Холл;Правовая информация Банкет-Холла: условия обработки персональных данных и правила использования сайта banket-na5.ru.;https://banket-na5.ru/policy;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;policy
/soglasiye-persdan;Согласие на обработку персональных данных | Банкет-Холл;Правовая информация Банкет-Холла: условия обработки персональных данных и правила использования сайта banket-na5.ru.;https://banket-na5.ru/soglasiye-persdan;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;soglasiye-persdan
/polzovatelskoye-soglasheniye;Пользовательское соглашение | Банкет-Холл;Правовая информация Банкет-Холла: условия обработки персональных данных и правила использования сайта banket-na5.ru.;https://banket-na5.ru/polzovatelskoye-soglasheniye;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;polzovatelskoye-soglasheniye
/pravila-rektekhno;Правила применения рекомендательных технологий | Банкет-Холл;Правовая информация Банкет-Холла: условия обработки персональных данных и правила использования сайта banket-na5.ru.;https://banket-na5.ru/pravila-rektekhno;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;pravila-rektekhno
/soglasiye-metrprog;Согласие на обработку данных метрических программ | Банкет-Холл;Правовая информация Банкет-Холла: условия обработки персональных данных и правила использования сайта banket-na5.ru.;https://banket-na5.ru/soglasiye-metrprog;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;soglasiye-metrprog
/soglasiye-rekinfo;Согласие на получение рассылки | Банкет-Холл;Правовая информация Банкет-Холла: условия обработки персональных данных и правила использования сайта banket-na5.ru.;https://banket-na5.ru/soglasiye-rekinfo;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;soglasiye-rekinfo
/cookie;Политика обработки файлов cookie | Банкет-Холл;Правовая информация Банкет-Холла: условия обработки персональных данных и правила использования сайта banket-na5.ru.;https://banket-na5.ru/cookie;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;cookie
/404;Страница не найдена | Банкет-Холл;Такой страницы на сайте нет. Вернитесь на главную или выберите зал.;https://banket-na5.ru/404;noindex,follow;https://cdn.jsdelivr.net/gh/dimrurnd-cell/banket@codex/complete-site-v2/assets/img/opt/hero-banquet-1668-109b5c-1280.jpg;404
